,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
94,1322,0,1.7,1,6.0,0.0,7.0,0.8,140.0,3.0,9.0,177.0,1990.0,1418.0,19.0,17.0,12,0,1,0,1
300,1937,1,1.7,0,17.0,0.0,58.0,0.6,189.0,1.0,19.0,1728.0,1767.0,3321.0,5.0,4.0,14,1,1,0,3
1919,1318,1,2.4,0,1.0,1.0,45.0,0.1,136.0,2.0,7.0,183.0,661.0,755.0,18.0,3.0,9,1,0,1,0
654,666,1,0.5,1,7.0,1.0,54.0,0.4,81.0,3.0,13.0,58.0,1353.0,1254.0,15.0,9.0,9,1,1,1,0
700,561,1,2.1,1,7.0,1.0,2.0,0.1,193.0,3.0,13.0,1055.0,1294.0,665.0,10.0,0.0,4,1,1,0,0
1805,534,0,0.5,1,4.0,0.0,2.0,0.2,85.0,5.0,16.0,911.0,1220.0,2466.0,5.0,3.0,18,0,1,1,2
738,1936,1,1.9,1,13.0,1.0,34.0,0.2,182.0,7.0,14.0,591.0,1089.0,1671.0,6.0,1.0,9,1,0,1,1
1353,1436,0,2.5,1,0.0,1.0,42.0,0.9,124.0,8.0,1.0,1826.0,1836.0,2736.0,12.0,5.0,19,1,1,0,3
1849,1786,0,1.2,0,11.0,0.0,61.0,0.1,123.0,3.0,14.0,74.0,865.0,3033.0,14.0,11.0,17,0,1,0,3
1872,1745,0,2.9,0,0.0,1.0,3.0,0.9,105.0,3.0,0.0,426.0,1629.0,1308.0,5.0,0.0,2,1,1,0,1
1253,712,0,2.5,1,1.0,0.0,49.0,0.6,99.0,6.0,3.0,1131.0,1743.0,401.0,5.0,0.0,10,1,0,1,0
332,1730,0,2.0,1,0.0,1.0,20.0,0.1,143.0,4.0,10.0,418.0,1023.0,1595.0,14.0,0.0,12,1,1,0,1
962,1660,0,2.8,1,4.0,0.0,7.0,0.8,184.0,1.0,6.0,76.0,1165.0,1531.0,12.0,0.0,7,0,0,0,1
1759,1020,1,0.7,1,3.0,1.0,27.0,0.7,128.0,4.0,4.0,919.0,1482.0,3204.0,18.0,1.0,9,1,0,1,3
838,854,0,0.5,0,2.0,0.0,30.0,0.5,125.0,8.0,5.0,518.0,1152.0,2889.0,5.0,2.0,11,0,0,1,2
44,1195,1,2.8,0,1.0,1.0,20.0,0.8,110.0,2.0,14.0,1580.0,1652.0,504.0,9.0,3.0,12,1,1,0,0
344,618,0,2.1,0,2.0,0.0,6.0,0.3,86.0,1.0,4.0,1314.0,1688.0,1051.0,13.0,10.0,15,0,0,1,0
1918,772,0,1.0,1,0.0,1.0,23.0,0.6,97.0,7.0,11.0,317.0,1805.0,2782.0,7.0,0.0,17,1,0,0,2
1498,881,0,1.0,0,1.0,0.0,64.0,0.5,160.0,3.0,6.0,115.0,636.0,2110.0,18.0,9.0,6,1,1,1,1
1755,1322,0,2.3,1,1.0,1.0,35.0,0.1,157.0,1.0,3.0,443.0,708.0,3684.0,15.0,8.0,6,1,0,0,3
443,1448,0,1.4,1,13.0,0.0,26.0,1.0,156.0,3.0,16.0,1792.0,1850.0,1175.0,12.0,9.0,6,0,1,0,1
742,1822,0,1.2,0,0.0,0.0,8.0,0.2,195.0,6.0,0.0,172.0,910.0,2577.0,9.0,5.0,8,1,1,0,2
865,642,0,2.8,0,3.0,0.0,34.0,0.8,197.0,2.0,15.0,331.0,1011.0,3355.0,12.0,5.0,13,0,0,0,2
1275,1733,1,1.5,1,4.0,1.0,6.0,0.9,170.0,1.0,15.0,590.0,997.0,3488.0,6.0,4.0,10,1,1,1,3
1622,1057,1,2.7,0,3.0,1.0,41.0,0.1,97.0,4.0,10.0,397.0,891.0,2033.0,16.0,9.0,2,1,1,0,1
491,1889,0,2.8,0,5.0,1.0,31.0,1.0,132.0,1.0,10.0,170.0,1106.0,3672.0,5.0,1.0,3,1,1,1,3
192,1490,1,0.5,1,4.0,1.0,64.0,0.3,150.0,8.0,8.0,1417.0,1464.0,3600.0,17.0,9.0,7,1,1,1,3
976,1778,0,0.5,0,0.0,1.0,23.0,0.5,101.0,6.0,11.0,1028.0,1445.0,3941.0,19.0,6.0,13,1,0,0,3
1207,627,0,1.8,0,2.0,0.0,20.0,0.8,142.0,3.0,8.0,211.0,507.0,896.0,17.0,6.0,14,0,0,0,0
1357,1339,1,2.3,1,0.0,0.0,40.0,0.1,123.0,2.0,1.0,212.0,1269.0,2382.0,6.0,4.0,7,1,0,1,2
1022,1099,0,0.5,0,13.0,1.0,61.0,0.3,146.0,3.0,20.0,393.0,1096.0,1699.0,17.0,10.0,3,1,1,1,1
691,1486,0,2.6,0,7.0,0.0,52.0,0.1,85.0,4.0,15.0,1430.0,1747.0,297.0,13.0,1.0,15,0,1,0,0
1517,911,0,1.4,1,3.0,0.0,14.0,0.7,199.0,4.0,4.0,1563.0,1692.0,2933.0,16.0,3.0,11,0,1,0,3
1228,1820,1,1.7,1,0.0,1.0,64.0,0.6,161.0,1.0,3.0,1157.0,1951.0,574.0,10.0,2.0,18,1,1,0,1
361,899,0,0.5,1,13.0,1.0,57.0,0.9,172.0,2.0,18.0,788.0,1331.0,364.0,11.0,1.0,7,1,1,0,0
1106,1266,0,2.6,0,1.0,0.0,18.0,0.4,86.0,7.0,2.0,1187.0,1595.0,398.0,16.0,8.0,3,1,1,1,0
1921,569,1,2.5,1,0.0,0.0,41.0,0.3,124.0,1.0,1.0,388.0,605.0,2651.0,17.0,7.0,4,0,0,0,1
1350,1398,0,1.6,1,8.0,1.0,26.0,0.8,150.0,1.0,12.0,755.0,1284.0,3488.0,14.0,3.0,11,1,1,0,3
588,1966,1,1.4,1,2.0,0.0,40.0,0.9,185.0,8.0,18.0,1197.0,1987.0,1185.0,11.0,2.0,20,0,1,0,2
557,1519,0,2.1,0,0.0,0.0,32.0,0.7,200.0,1.0,10.0,168.0,1239.0,2912.0,11.0,10.0,15,1,1,0,2
399,1868,0,2.0,1,0.0,1.0,42.0,0.2,169.0,1.0,4.0,347.0,660.0,3131.0,8.0,3.0,7,1,1,1,3
222,1225,1,2.1,1,8.0,0.0,13.0,0.5,116.0,4.0,12.0,759.0,1404.0,3836.0,12.0,11.0,11,0,0,0,3
1334,1039,0,0.5,1,8.0,0.0,47.0,0.2,130.0,8.0,9.0,384.0,1878.0,1742.0,18.0,12.0,15,1,0,0,1
759,1030,0,1.6,1,3.0,1.0,58.0,0.2,138.0,6.0,20.0,1111.0,1812.0,2858.0,6.0,2.0,18,1,1,1,3
450,712,1,0.5,1,3.0,1.0,35.0,0.2,84.0,2.0,10.0,558.0,1208.0,2190.0,16.0,12.0,4,1,1,1,1
1148,727,1,1.5,0,0.0,1.0,32.0,1.0,131.0,7.0,1.0,813.0,1377.0,1891.0,19.0,13.0,7,1,0,1,1
667,600,0,0.5,0,1.0,0.0,48.0,0.8,191.0,3.0,7.0,501.0,1465.0,3393.0,12.0,7.0,8,1,0,0,2
47,1054,1,1.8,1,3.0,1.0,40.0,0.8,196.0,7.0,10.0,27.0,774.0,2296.0,16.0,12.0,12,1,0,1,1
1008,1977,0,1.3,1,2.0,0.0,31.0,0.4,173.0,8.0,6.0,1145.0,1356.0,2641.0,8.0,2.0,7,0,0,0,3
1877,1142,1,1.2,0,0.0,0.0,2.0,0.6,114.0,6.0,0.0,623.0,769.0,1747.0,7.0,0.0,14,0,1,0,1
524,825,0,0.5,1,0.0,1.0,23.0,0.1,86.0,2.0,0.0,206.0,1917.0,3278.0,8.0,6.0,2,1,0,1,3
495,1066,0,1.6,0,5.0,0.0,39.0,0.6,131.0,5.0,17.0,401.0,1586.0,2728.0,6.0,0.0,17,1,1,1,2
579,1853,1,1.0,0,2.0,0.0,23.0,0.4,92.0,1.0,15.0,202.0,1951.0,2775.0,14.0,4.0,17,1,0,0,3
293,1517,0,0.5,0,6.0,1.0,48.0,0.6,143.0,5.0,,,1489.0,2822.0,15.0,5.0,11,1,1,1,3
1033,1632,1,1.4,0,0.0,0.0,41.0,0.1,132.0,4.0,1.0,706.0,1623.0,2614.0,5.0,4.0,15,1,0,0,2
1514,834,0,0.5,0,2.0,1.0,27.0,0.2,123.0,1.0,16.0,1421.0,1463.0,1591.0,11.0,9.0,20,1,1,0,1
45,1514,0,2.9,0,0.0,0.0,27.0,0.2,118.0,3.0,1.0,186.0,1810.0,1152.0,8.0,3.0,20,0,1,1,1
20,772,0,1.1,1,12.0,0.0,39.0,0.8,81.0,7.0,14.0,1314.0,1854.0,2819.0,17.0,15.0,3,1,1,0,3
1264,676,0,2.2,0,1.0,1.0,39.0,0.2,84.0,1.0,5.0,864.0,1011.0,2064.0,13.0,7.0,6,1,0,0,1
672,1979,1,1.6,1,0.0,0.0,32.0,0.2,165.0,7.0,1.0,833.0,1630.0,452.0,13.0,6.0,14,0,1,0,0
1772,1577,0,1.0,1,0.0,1.0,64.0,0.1,105.0,3.0,7.0,116.0,1432.0,2967.0,7.0,3.0,7,1,1,1,3
1117,1970,0,1.6,1,11.0,1.0,58.0,0.3,80.0,8.0,19.0,654.0,882.0,2372.0,14.0,12.0,2,1,1,0,2
648,1112,1,0.5,1,1.0,0.0,53.0,0.6,121.0,4.0,16.0,234.0,739.0,3655.0,7.0,3.0,20,1,1,0,3
617,1109,1,2.7,1,1.0,0.0,39.0,0.4,98.0,1.0,9.0,1391.0,1787.0,1524.0,15.0,10.0,7,1,1,1,1
1994,858,0,2.2,0,1.0,0.0,50.0,0.1,84.0,1.0,2.0,528.0,1416.0,3978.0,17.0,16.0,3,1,1,0,3
967,1807,0,2.0,1,0.0,1.0,13.0,0.5,155.0,8.0,0.0,970.0,974.0,323.0,9.0,3.0,3,1,1,1,0
1820,665,1,0.7,0,0.0,1.0,31.0,0.1,185.0,5.0,2.0,496.0,1804.0,690.0,5.0,2.0,15,1,0,0,0
801,1422,0,1.0,0,15.0,0.0,3.0,0.1,112.0,1.0,17.0,1.0,926.0,509.0,19.0,1.0,3,1,1,1,0
1582,1171,1,1.7,1,2.0,0.0,19.0,0.3,167.0,7.0,19.0,248.0,755.0,263.0,6.0,5.0,8,0,0,0,0
1806,628,1,1.8,0,5.0,0.0,60.0,0.2,87.0,6.0,6.0,1047.0,1534.0,1337.0,12.0,7.0,14,0,1,0,1
264,1722,0,2.6,0,8.0,0.0,18.0,0.8,177.0,2.0,16.0,865.0,1741.0,3271.0,14.0,0.0,15,1,0,1,3
1448,1392,0,2.5,0,0.0,1.0,44.0,0.7,113.0,4.0,2.0,482.0,1098.0,1280.0,8.0,1.0,16,1,0,1,1
1571,1253,0,0.7,0,0.0,1.0,34.0,0.9,113.0,4.0,10.0,161.0,647.0,3518.0,7.0,3.0,8,1,1,1,3
71,1407,1,2.4,0,1.0,1.0,22.0,0.7,104.0,4.0,4.0,1172.0,1217.0,2192.0,9.0,7.0,13,1,0,1,2
1367,598,1,0.8,1,8.0,1.0,62.0,0.1,117.0,8.0,9.0,118.0,764.0,3066.0,11.0,2.0,19,1,1,0,2
1841,592,0,0.8,1,1.0,0.0,52.0,0.9,103.0,7.0,10.0,332.0,970.0,1507.0,5.0,0.0,4,0,0,1,0
1915,936,0,1.0,0,1.0,0.0,18.0,0.2,153.0,3.0,18.0,1330.0,1686.0,2391.0,12.0,6.0,3,1,1,1,2
123,1379,0,1.1,0,5.0,1.0,36.0,0.8,200.0,2.0,7.0,538.0,1376.0,3426.0,5.0,4.0,17,1,1,1,3
1672,1379,1,1.5,0,6.0,1.0,9.0,0.8,118.0,8.0,13.0,98.0,755.0,1693.0,11.0,4.0,18,1,0,1,1
644,1715,0,1.9,0,4.0,1.0,3.0,0.1,171.0,5.0,6.0,79.0,1652.0,514.0,7.0,4.0,13,1,0,0,0
1540,1994,1,0.7,0,5.0,0.0,5.0,0.4,189.0,2.0,7.0,86.0,1546.0,1836.0,12.0,11.0,18,1,0,0,2
1180,1479,1,1.8,1,0.0,1.0,24.0,0.1,146.0,6.0,0.0,327.0,645.0,3762.0,12.0,10.0,5,1,0,0,3
230,1488,0,0.5,0,1.0,0.0,39.0,0.8,112.0,5.0,6.0,1528.0,1647.0,3054.0,14.0,10.0,19,0,0,0,3
1010,683,0,0.7,0,5.0,0.0,19.0,0.9,173.0,4.0,17.0,954.0,1985.0,2622.0,16.0,3.0,5,0,0,1,2
604,1312,0,0.5,1,0.0,1.0,28.0,0.8,163.0,2.0,0.0,1233.0,1854.0,1087.0,17.0,16.0,14,1,0,0,1
308,1530,0,2.0,0,11.0,0.0,42.0,0.8,177.0,6.0,13.0,454.0,1975.0,725.0,11.0,10.0,19,0,0,1,0
878,1366,1,1.7,1,5.0,1.0,53.0,0.2,161.0,5.0,9.0,647.0,1876.0,3869.0,17.0,5.0,14,1,0,1,3
1101,1672,1,0.5,1,13.0,1.0,32.0,0.7,174.0,1.0,20.0,1281.0,1896.0,1267.0,17.0,4.0,20,1,1,0,1
140,1753,0,0.5,1,0.0,1.0,31.0,0.1,134.0,1.0,18.0,1590.0,1926.0,1324.0,17.0,0.0,17,1,0,1,2
75,819,0,0.6,1,8.0,1.0,42.0,0.9,188.0,6.0,20.0,339.0,1242.0,1814.0,5.0,4.0,13,1,0,1,1
1420,904,0,2.7,1,4.0,0.0,19.0,0.6,147.0,6.0,7.0,1094.0,1496.0,545.0,19.0,18.0,16,0,0,0,0
555,1230,1,2.2,1,6.0,0.0,26.0,0.8,123.0,5.0,7.0,416.0,676.0,988.0,11.0,5.0,9,0,1,1,0
1500,1225,0,0.7,1,6.0,0.0,60.0,0.1,107.0,2.0,15.0,10.0,1567.0,2423.0,17.0,11.0,6,1,0,0,2
1698,1619,1,0.9,0,3.0,0.0,20.0,0.9,117.0,6.0,9.0,813.0,1180.0,464.0,7.0,5.0,16,1,0,1,0
486,1089,1,0.9,1,12.0,1.0,2.0,0.7,145.0,5.0,15.0,636.0,1259.0,2765.0,13.0,12.0,10,1,0,1,2
1139,831,0,2.4,0,10.0,0.0,55.0,0.5,86.0,6.0,12.0,172.0,1239.0,1075.0,12.0,11.0,3,1,1,0,0
1439,1006,0,2.2,1,4.0,1.0,22.0,0.8,135.0,4.0,8.0,35.0,991.0,909.0,18.0,4.0,7,1,0,1,0
1338,1848,0,1.3,1,7.0,0.0,12.0,0.1,178.0,2.0,19.0,195.0,533.0,3915.0,9.0,7.0,8,0,0,1,3
1362,1991,0,2.2,1,1.0,1.0,42.0,0.7,82.0,1.0,13.0,366.0,613.0,722.0,6.0,5.0,10,1,1,0,0
1321,1965,1,0.5,0,4.0,1.0,29.0,0.5,149.0,5.0,13.0,584.0,676.0,2973.0,11.0,1.0,20,1,1,1,3
417,651,1,0.8,1,2.0,1.0,63.0,0.2,176.0,5.0,4.0,548.0,858.0,2244.0,14.0,9.0,19,1,1,0,1
1021,1699,0,0.5,1,1.0,0.0,59.0,0.5,97.0,4.0,3.0,466.0,1768.0,3796.0,17.0,10.0,12,0,1,1,3
1567,940,0,2.9,0,0.0,0.0,16.0,0.7,115.0,4.0,1.0,499.0,1090.0,2192.0,15.0,13.0,9,1,1,1,1
203,671,0,0.9,1,10.0,0.0,30.0,0.7,105.0,7.0,17.0,852.0,1182.0,2504.0,6.0,4.0,15,1,0,0,2
406,1007,0,2.0,0,0.0,0.0,45.0,0.1,95.0,5.0,2.0,1186.0,1529.0,3648.0,9.0,0.0,16,0,0,0,3
1538,1070,1,3.0,0,9.0,0.0,19.0,0.8,160.0,7.0,16.0,90.0,1614.0,2647.0,14.0,13.0,20,0,1,0,2
1926,1122,0,0.5,0,0.0,1.0,40.0,0.3,156.0,7.0,14.0,675.0,1163.0,1456.0,9.0,3.0,20,1,1,0,1
1261,1562,0,0.5,1,1.0,1.0,20.0,0.8,172.0,8.0,10.0,678.0,1676.0,3465.0,16.0,11.0,6,1,1,0,3
37,1725,1,1.6,1,6.0,1.0,6.0,0.5,119.0,2.0,18.0,609.0,1307.0,3429.0,6.0,5.0,4,1,1,0,3
146,1101,0,1.8,0,0.0,0.0,31.0,0.2,148.0,2.0,7.0,387.0,1269.0,2196.0,12.0,6.0,19,0,1,1,1
211,1539,1,2.6,0,0.0,0.0,41.0,0.1,159.0,8.0,0.0,1112.0,1666.0,2107.0,15.0,9.0,10,1,0,1,2
914,694,1,1.8,1,15.0,0.0,36.0,0.4,193.0,4.0,20.0,983.0,1230.0,3676.0,12.0,8.0,5,1,0,1,3
1142,1193,1,3.0,0,10.0,0.0,56.0,0.4,196.0,3.0,17.0,674.0,864.0,2394.0,19.0,11.0,14,1,1,0,2
66,1358,1,0.5,0,11.0,1.0,36.0,0.3,155.0,4.0,14.0,1565.0,1858.0,3068.0,9.0,4.0,4,1,1,0,3
234,528,0,1.7,0,12.0,1.0,6.0,0.8,142.0,2.0,15.0,574.0,637.0,3256.0,9.0,8.0,6,1,1,0,2
1285,1724,1,1.8,0,0.0,1.0,9.0,0.8,100.0,2.0,1.0,655.0,828.0,3056.0,18.0,16.0,6,1,0,0,3
1096,1154,0,2.0,0,6.0,1.0,35.0,0.8,159.0,5.0,16.0,1003.0,1827.0,3262.0,16.0,15.0,16,1,0,0,3
676,1027,0,0.5,0,2.0,1.0,64.0,0.9,103.0,2.0,7.0,1698.0,1747.0,3786.0,17.0,12.0,12,1,0,0,3
1387,1533,1,1.1,1,18.0,1.0,17.0,0.3,160.0,4.0,20.0,1054.0,1393.0,2520.0,8.0,2.0,11,1,0,1,2
487,1663,1,2.5,1,13.0,1.0,27.0,0.3,169.0,4.0,14.0,831.0,1439.0,2084.0,7.0,1.0,18,1,0,0,2
903,899,1,2.7,0,3.0,1.0,53.0,0.3,192.0,4.0,11.0,641.0,1638.0,2870.0,19.0,16.0,10,1,0,1,2
620,972,1,2.7,1,1.0,0.0,5.0,1.0,126.0,4.0,2.0,687.0,816.0,3035.0,12.0,7.0,19,1,0,1,2
28,1453,0,1.6,1,12.0,1.0,52.0,0.3,96.0,2.0,18.0,187.0,1311.0,2373.0,10.0,1.0,10,1,1,1,2
797,1320,0,2.1,1,0.0,1.0,41.0,0.6,144.0,7.0,2.0,123.0,1229.0,542.0,11.0,1.0,14,1,1,0,0
1037,1104,0,1.7,0,1.0,1.0,60.0,0.4,199.0,2.0,13.0,653.0,1413.0,1229.0,6.0,0.0,3,1,1,1,0
1984,797,0,2.2,1,0.0,0.0,37.0,0.9,144.0,7.0,2.0,206.0,1167.0,2216.0,9.0,5.0,6,1,0,0,1
1052,547,0,1.9,1,1.0,0.0,37.0,0.4,154.0,5.0,4.0,371.0,541.0,2705.0,17.0,3.0,10,1,1,0,1
649,709,1,2.0,1,0.0,0.0,35.0,0.1,136.0,1.0,0.0,1545.0,1596.0,1973.0,12.0,9.0,16,0,1,1,1
413,1178,1,1.3,0,0.0,0.0,49.0,0.6,101.0,5.0,0.0,579.0,596.0,2511.0,6.0,3.0,17,0,0,0,2
1526,963,0,0.5,0,1.0,1.0,60.0,0.8,156.0,3.0,3.0,742.0,821.0,2722.0,12.0,6.0,16,1,0,0,2
1031,1983,1,0.5,1,3.0,0.0,43.0,1.0,87.0,6.0,10.0,349.0,676.0,2775.0,9.0,4.0,3,0,1,1,2
1566,1317,0,1.5,0,6.0,0.0,12.0,0.1,154.0,2.0,9.0,431.0,542.0,425.0,7.0,0.0,11,1,1,1,0
1900,1619,1,1.9,0,2.0,1.0,21.0,0.4,138.0,1.0,9.0,46.0,562.0,1641.0,7.0,2.0,13,1,0,0,1
1954,686,1,2.7,1,0.0,0.0,36.0,0.1,194.0,4.0,1.0,64.0,745.0,1503.0,10.0,0.0,13,0,0,0,0
751,1331,1,1.6,0,0.0,0.0,16.0,0.5,165.0,2.0,7.0,1109.0,1226.0,1026.0,13.0,5.0,20,1,0,1,1
686,1527,0,2.7,0,10.0,1.0,60.0,0.1,154.0,5.0,14.0,526.0,1116.0,2078.0,5.0,3.0,11,1,1,1,2
1953,727,1,2.5,1,0.0,1.0,64.0,0.2,193.0,1.0,9.0,664.0,711.0,3654.0,9.0,1.0,16,1,1,0,3
820,1387,0,0.5,0,0.0,1.0,61.0,0.5,98.0,3.0,0.0,785.0,1151.0,629.0,5.0,3.0,11,1,1,0,0
611,1958,1,1.9,1,0.0,0.0,4.0,0.2,190.0,2.0,3.0,304.0,637.0,1409.0,16.0,5.0,3,0,0,0,1
1631,612,1,0.5,1,1.0,1.0,20.0,0.8,179.0,8.0,6.0,1145.0,1487.0,3282.0,16.0,2.0,18,1,1,1,3
239,1799,1,0.5,0,0.0,0.0,49.0,0.4,107.0,4.0,2.0,632.0,1383.0,720.0,12.0,2.0,11,1,1,1,0
1416,1448,0,0.5,1,18.0,0.0,2.0,0.2,100.0,5.0,19.0,846.0,1144.0,593.0,9.0,4.0,18,1,1,1,0
1552,1562,1,0.7,0,0.0,0.0,55.0,0.1,140.0,8.0,1.0,1032.0,1776.0,2096.0,15.0,3.0,3,0,0,0,2
111,617,1,2.3,0,0.0,0.0,32.0,0.5,199.0,7.0,20.0,768.0,874.0,2213.0,18.0,13.0,7,0,0,0,1
584,946,1,2.6,1,17.0,0.0,5.0,0.1,166.0,3.0,20.0,1698.0,1771.0,3720.0,15.0,7.0,4,0,1,0,3
573,1900,1,0.5,1,0.0,1.0,55.0,0.9,171.0,1.0,1.0,934.0,1241.0,3917.0,15.0,5.0,18,1,0,1,3
615,880,0,0.5,1,1.0,0.0,44.0,0.5,172.0,8.0,15.0,436.0,1302.0,3132.0,8.0,7.0,6,0,1,1,2
316,1648,0,0.7,0,6.0,1.0,64.0,0.8,170.0,4.0,9.0,1153.0,1876.0,610.0,8.0,1.0,6,1,1,0,1
1337,1159,0,1.5,0,3.0,0.0,36.0,0.4,104.0,4.0,8.0,717.0,1206.0,2115.0,8.0,7.0,18,0,0,0,2
703,1413,0,0.5,1,4.0,1.0,39.0,0.1,185.0,5.0,12.0,1039.0,1318.0,3878.0,19.0,16.0,4,1,0,0,3
1875,868,1,0.9,0,5.0,0.0,5.0,0.4,137.0,4.0,7.0,40.0,1311.0,1519.0,13.0,0.0,2,0,0,1,0
191,1562,1,1.3,1,1.0,1.0,7.0,0.2,190.0,5.0,15.0,642.0,1533.0,2243.0,12.0,10.0,6,1,0,0,2
441,1654,0,1.8,0,1.0,0.0,11.0,0.3,146.0,7.0,2.0,1184.0,1719.0,1070.0,8.0,1.0,14,1,1,1,1
1184,1314,1,2.2,0,0.0,1.0,40.0,0.8,116.0,7.0,1.0,328.0,1858.0,3033.0,9.0,8.0,17,1,1,1,3
1327,948,0,2.3,0,14.0,0.0,22.0,0.1,173.0,5.0,20.0,257.0,1654.0,3499.0,11.0,7.0,19,1,1,1,3
25,961,1,1.4,1,0.0,1.0,57.0,0.6,114.0,8.0,3.0,291.0,1434.0,2782.0,18.0,9.0,7,1,1,1,2
1659,770,1,1.5,1,6.0,0.0,61.0,0.2,196.0,4.0,9.0,603.0,1483.0,3473.0,7.0,3.0,4,0,0,1,3
367,825,0,2.9,1,0.0,0.0,34.0,0.8,99.0,8.0,17.0,1471.0,1866.0,2915.0,8.0,2.0,10,1,1,0,3
861,525,0,2.4,1,11.0,0.0,35.0,0.8,190.0,7.0,20.0,82.0,670.0,1609.0,16.0,11.0,3,0,0,0,0
1761,1329,1,1.7,0,5.0,1.0,23.0,0.6,198.0,8.0,6.0,380.0,682.0,2308.0,11.0,10.0,9,1,1,0,1
637,1993,1,0.5,0,10.0,1.0,27.0,0.3,147.0,8.0,11.0,150.0,510.0,2437.0,14.0,0.0,9,1,0,0,2
1556,875,1,1.4,1,1.0,1.0,43.0,0.6,104.0,8.0,3.0,902.0,969.0,3396.0,14.0,2.0,18,1,0,0,3
911,1284,1,2.8,1,0.0,0.0,10.0,0.9,155.0,2.0,14.0,160.0,516.0,2197.0,16.0,2.0,9,0,1,1,1
